id,text,title
16,epon gbit downstream upstream budget rate power ieee gbase asymmetric direction symmetric channel band transmission draft standard wavelength ethernet telecom gpon operating compatible communication group fttx balloting dwelling teknovus vitesse corning force ratified abbr task dual defines border defined layer represents study burst september milestone backward wikitable class line point following deployed separated correction supported produced optic support rely employ china optical forward implementation http compatibility formed system value convert electronics network describes infinera ecoc knoxville transwitch kddi opticom etri gbps salira transceivers tdma teranetics scrambler optoelectronics corecess telesyn chunghwa centillium disperson newhouse picolight odsm immenstar alloptic cfi_ opnext clariphy,10G-EPON
19,copper pas ieee ethernet aggregation mile base phys lantiq ikanos bonding broadcom mbit gauge layer pair point protocol physical wire network rate extremecopper vdsl getieee http link specification csma duplex aggregated wiring metropolitan carrier collision diameter multiple access grade single standard function deliver extreme technology vary minimum voice chip information optional detection vendor respectively category distance manufacturer convert characteristic reach unlike equipment length depending sense channel exchange force providing compu task requirement local american archive communication external short november january specific area support method called stub number application system html date flask florencia flat flores flashpoint flashtype flashtogo flashterm flashsupport,10PASS-TS
26,participant mogo coulom gelly olympiad game amsterdam chess surakarta remi backgammon wccc crazystone rémi sylvain cheng championship crazy workshop wang stone amazon netherlands june http held berger bosboom inthedark steenvreter winands grappa todoroki bgblitz eulerzaal blyn shiga campya auwerda tillemans incognito kruislaan jelle xiexie icga unimaas alsdkfjiwen mcgammon kavalan werf irmin golois newtonzaal neuchess iida shohei meinstein sjende koning satoshi lieshout seike jetten kloetzer chaslot wiersma ryosuke tdking yizao ohguchi cazenave reiki nagashima gnubg hashimoto board liou castillo takeshi tsuyoshi draught hiroyuki guillaume eugenio tung taco tristan joris shogi lille sara jiao theo julien françois phantom ming harm tang storm,12th Computer Olympiad
33,univac architecture digital gbell timelime simh supnik octal produced nofootnotes trailing architektura bitowa hexadecimal computer minicomputer octet timeline molecular architectural digit acquisition military possibly doc data evolution edge bit combination equipment unique corporation binary microsoft october http including research known user computing technology number system example date reference category fleur flew fledged fleischmann fled flayer fledging flawless fletcher flemish fleming flesh fleischer fleischner flee flektor fleeing fleet fleetingly fleischaker fleishman ﻣﺘﺰاوﺟﺔ flaw flashcomponents flashplayer flashplatform flashmagazine flashing flashed flashdevelop flashcs flashcard flavour flashblock flashback flash_bug_repor flash flas flarge flare flashpoint flashpro flashsupport flashterm flavored flavor flavio flaunt flaubert flatulent flattery,18-bit
53,tape player track button cassette play mego freeman game question tiger user version educational right cartridge yellow answer voice toy slot forced played kid robot board corporation michael program light playing shape told checker second came win plastic audio electronics blue sound guaranteed push turn wrong ranger kinderbot kasey sounding channel image released reverse different storyline thank turned theme focused patent laugh voiced humor aren pyramid green talked sold circa space pushing time volume adventure story eye simulator triangle company topic market line thumb turning total foot year recorded produced colour popular moment human saying subject unit introduced asked fact,2-XL
54,hashing key collision choice hash array colliding chaining bucket log_ dad math theta kept fewer probability average notation resolution variant successful scheme orphan position cost table added search left needed size december high function case known number date category fleishman flee flexibiltiy flesh flexibility fleming fleeing flexflashforum flex flew fleischner fleet fleetingly fleischaker flemish fleur fleischer flektor fletcher fleischmann fledging flavour fledged flashcomponents flashpoint flashplayer flashplatform flashmagazine flashing flashed flashdevelop flashcs flashcard flashsupport flashblock flashback flash_bug_repor flash flas flarge flare flapping flashpro flashterm fled flaubert flayer flawless flaw flexio flavored flavor flavio flaunt flatulent flashtogo flattery flattering flatter flatbush flatbed,2-choice hashing
59,gate hopl algebra bendix murdoch showlanguage mellon foldoc carnegie system lang compu entry developed programming university stub language external link http category fleischmann fleischner flexio flawless flexible flexibiltiy flexibility flayer flexflashforum flex fled flew fledged fledging fleur flee fleeing fletcher flesh fleet flemish fleetingly fleischaker fleming fleischer flektor fleishman flaw ﻣﺘﺰاوﺟﺔ flavour flash flashed flashdevelop flashcs flashcomponents flashcard flashblock flashback flash_bug_repor flas flavored flarge flare flapping flap flange flammable flamingo flamewar flashing flashmagazine flashplatform flashplayer flavor flaunt flaubert flatulent flattery flattering flatter flatbush flatbed flat flask flashtype flashtogo flashterm flashsupport flashpro flashpoint flavio flexlibrary flexisign flow fltplan floyd flowware flowing,20-GATE
71,addressing register arithmetic bit apple processor truecolor popular architektura bitowa octet microcontroller general featuring motorola macintosh microprocessor intel announced compatible color binary personal unreferenced computer october digital early model including technology defaultsort image date filtered fleet fleeing flexibiltiy flee fledging fledged fled flayer flawless flaw flexio fleischmann fleetingly fleischaker flexflashforum flex flew fleur fletcher flesh flemish fleming flexible flektor fleishman fleischner flavour flexibility fleischer fin flaunt flavored flashdevelop flashplayer flashplatform flashmagazine filtrage flashing filtre flashed flashcs flavor flashcomponents flashcard flashblock flashback flash_bug_repor flash flas flashpoint flashpro flashsupport flashterm flavio filtering flexlibrary filtern flaubert flatulent flattery flattering flatter flatbush flatbed flat,24-bit
75,processor mode counter architecture bit program risc status address register acorn assembler converting subroutine design flag memory compatibility execution_ risc_pc iyonix bit_dev utilise heyrick fffffc status_register allowed recent xscale included limited incompatibility restored filling retaining addressable altogether interrupt internally original pdfs returning change reuse saved aligned separated vast consequently code apps http resulted dropped calling lowest caused addressed architectural layout execute away save enabled load despite combined intel call prior limitation contrast efficient execution faster previous response zero combination software designer refers taking earlier traditional detail hold download lower separate html write allowing step existing difference running introduced fact word,26-bit
101,gamerdna voice xbox blog accessdate author cite work publisher markelz trapper title date nelson http domain april kotaku sopp adweek xconomy company spice challenge major talk buy experience gaming advertising community brian trend steve recognized acquisition september daily boston interview owner target live gamerscore roush voicecom hryb crecente thexboxdomain depart morrissey musgrove story latest html activity inanimate masshightech wade established article_display gamers vnu_content_id game bizjournals undisclosed category associating alexa washingtonpost subscribe gameplay view issuing slogan participating december change free acquire pointing mike larry redirect played audience website seek revenue tracking registration massachusetts brand friend acquired parent optional washington mass moved,360voice
104,jolitz lynne william jolix berkeley release unix porting bsdi code california lawsuit university netbsd freebsd telemuse greer patchkit dobbs http operating kernel remark software dobb encumbered cdrom contributed free portion journal salon maintainer source installer darwin began incomplete work foldoc system design history project license version designing operational secret july written subsequent respect series intel continue utility beginning port apple direction practical based developed founded reno valux jolitzes spinout loadable donn yoursay bsdisuit uunet diverged bsddesign minutepitch lehey itnews seeley initial party screenshot specification html distribution withheld regent theage thereof commercial opensolaris immense distributed en_us ritchie strand disagreement memory unifying,386BSD
110,audrey ergo geode appliance stylus device room internet compactflash keyboard passwd referencea kitchen voyager megahertz touchscreen browser adapter enthusiast image product slot push equipped modem exploit meant powered ethernet hardware flash serial discontinued email operating news access house quickly accessdate universal title screen light snacking photoframe webplayer winninger hepburn telly touchpad linen kojak liquidated pterm meadow exuded sunshine mannix fotsch savalas opener operatingsystem market storage embraced flashed virgin task processor named receptacle hudson refund elegance knob family cite neighboring lifespan emitting escalation synchronize weighs superuser brainchild unit logo work application pcmag arrived ocean experimentation calendar hung codename demise home inch,3Com Audrey
125,pose contour estimation rosenhahn point image object estimate bodo posit ray projection correspondence kiel estimating camera vision informatik rotation athitsos reconstructed algorithm opencv calibrated conformal cluttered coordinate accessdate translation code geometry author dist goto give publisher nearest reconstruct cite corner model determining gallery title compare free determine form homography coplanar cvonline vassilis prid uncalibrated cvonlinepose praktische barandiaran albrechts local_copies dementhon rigidly projekte posescene module goal exist wont occluded javier willowgarage corrects publikationen hand circumvent universitat work foundation iteratively mathematik calibration database extracting func http merger institut opengl pseudocode based dealt extracted assumes closest chose arises pentium approximate kluwer line iterative,3D Pose Estimation
131,rendering animation modeling renderer software window modeler maya lightwave autodesk renderman film model graphic package microsoft siemens amiga available feature design real accessdate parametric studio render blender linux mesh silo create application tool program free cite scene solid industry suite title video pixar houdini rhinoceros raytracer adobe us export based freeform texturing television game pirate photorealistic production http character developed caribbean support aided commercial product user apple platform exporter alibre truespace poser softimage swift unbiased realistic environment object freeware commodore surface fledged subdivision comparison electric organ canvas en_us creation engine lord version visual flash programming photo form modelling tracing digital,3D computer graphics software
139,object feature recognition affine ransac rothganger view parallelogram ellipse model vision photograph approach matching detector sift blob invariant lowe partial coordinate euclidean image motion paper algorithm method geometric recognizing scene appearance recognized descriptor transformation detection adjacent projection pair spatial selinger tomasi ijcv murase scale nayar teddy kanade point arbitrary dominant construct constraint typically rigid region nelson projected harris based pose detects gradient nearby bear distinctive single error position taken example smooth local detected upgrade consisting correspond indicates unified match transform constructed identified stream international edge surface thumb journal appropriate direction presented given take ponce case_study_pca keypoints elided aligns bebis schmid,3D single object recognition
